total_header_bytes,fwd_median_header_bytes,rst_flag_percentage_in_total,packets_IAT_median,max_header_bytes,fwd_mode_header_bytes,fwd_syn_flag_percentage_in_total,packets_IAT_mode,min_header_bytes,fwd_init_win_bytes,bwd_rst_flag_percentage_in_total,fwd_packets_IAT_mean,mean_header_bytes,bwd_init_win_bytes,fwd_psh_flag_percentage_in_fwd_packets,fwd_packets_IAT_max,median_header_bytes,packets_rate,fwd_syn_flag_percentage_in_fwd_packets,fwd_packets_IAT_min,mode_header_bytes,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,fwd_packets_IAT_total,fwd_total_header_bytes,fwd_packets_rate,packets_IAT_mean,fwd_packets_IAT_median,fwd_max_header_bytes,rst_flag_counts,packet_IAT_max,fwd_packets_IAT_mode,fwd_min_header_bytes,bwd_rst_flag_counts,packet_IAT_min,bwd_packets_IAT_total,fwd_mean_header_bytes,syn_flag_percentage_in_total,packet_IAT_total,bwd_packets_IAT_mode,label,activity
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000700,20,0,0,1703000700,20,16131.938,1,1703000700,20,8065.969,0,1703000700,20,8065.969,1.00E-04,1703000700,20,1,0.000123978,1703000700,20,1,0.0001239777,1703000700,20,0.5,0.000123978,1703000700,Attack,Attack-TCP-Flag-OSYN
20,0,1,1703000700,20,0,0,1703000700,20,0,1,0,20,0,0,0,20,0,0,0,20,0,0,0,0,0,1703000700,0,0,1,1703000700,0,0,1,1703000700.0000000000,1703000700,0,0,1703000700,1703000700,Attack,Attack-TCP-Flag-OSYN
20,20,1,1703000700,20,20,0,1703000700,20,0,0,1703000700,20,0,0,1703000700,20,0,0,1703000700,20,0,0,1703000700,20,0,1703000700,1703000700,20,1,1703000700,1703000700,20,0,1703000700.0000000000,0,20,0,1703000700,0,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000700,20,0,0,1703000700,20,18682.87,1,1703000700,20,9341.435,0,1703000700,20,9341.435,1.00E-04,1703000700,20,1,0.00010705,1703000700,20,1,0.0001070499,1703000700,20,0.5,0.00010705,1703000700,Attack,Attack-TCP-Flag-OSYN
60,40,0.5,0.0002,40,40,0.5,0.0002,20,64240,0.5,1703000800,30,0,0,1703000800,30,10407.702,1,1703000800,20,5203.851,0,1703000800,40,5203.851,0.0002,1703000800,40,1,0.000192165,1703000800,40,1,0.0001921654,1703000800,40,0.5,0.000192165,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000800,20,0,0,1703000800,20,16810.838,1,1703000800,20,8405.419,0,1703000800,20,8405.419,1.00E-04,1703000800,20,1,0.000118971,1703000800,20,1,0.0001189709,1703000800,20,0.5,0.000118971,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,0.0002,20,20,0.5,0.0002,20,1024,0.5,1703000800,20,0,0,1703000800,20,11765.229,1,1703000800,20,5882.6143,0,1703000800,20,5882.6143,0.0002,1703000800,20,1,0.000169992,1703000800,20,1,0.0001699925,1703000800,20,0.5,0.000169992,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000800,20,0,0,1703000800,20,25653.236,1,1703000800,20,12826.618,0,1703000800,20,12826.618,1.00E-04,1703000800,20,1,7.80E-05,1703000800,20,1,0.0000779629,1703000800,20,0.5,7.80E-05,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000800,20,0,0,1703000800,20,22982.488,1,1703000800,20,11491.244,0,1703000800,20,11491.244,1.00E-04,1703000800,20,1,8.70E-05,1703000800,20,1,0.0000870228,1703000800,20,0.5,8.70E-05,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,0.0002,20,20,0.5,0.0002,20,1024,0.5,1703000800,20,0,0,1703000800,20,9393.738,1,1703000800,20,4696.869,0,1703000800,20,4696.869,0.0002,1703000800,20,1,0.000212908,1703000800,20,1,0.0002129078,1703000800,20,0.5,0.000212908,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000800,20,0,0,1703000800,20,13797.053,1,1703000800,20,6898.5264,0,1703000800,20,6898.5264,1.00E-04,1703000800,20,1,0.000144959,1703000800,20,1,0.0001449585,1703000800,20,0.5,0.000144959,1703000800,Attack,Attack-TCP-Flag-OSYN
60,40,0.5,1.00E-04,40,40,0.5,1.00E-04,20,29040,0.5,1703000800,30,0,0,1703000800,30,21732.145,1,1703000800,20,10866.072,0,1703000800,40,10866.072,1.00E-04,1703000800,40,1,9.20E-05,1703000800,40,1,0.0000920296,1703000800,40,0.5,9.20E-05,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703000800,20,0,0,1703000800,20,24672.377,1,1703000800,20,12336.188,0,1703000800,20,12336.188,1.00E-04,1703000800,20,1,8.11E-05,1703000800,20,1,0.0000810623,1703000800,20,0.5,8.11E-05,1703000800,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,1.00E-04,20,20,0.5,1.00E-04,20,1024,0.5,1703001000,20,0,0,1703001000,20,20410.238,1,1703001000,20,10205.119,0,1703001000,20,10205.119,1.00E-04,1703001000,20,1,9.80E-05,1703001000,20,1,0.0000979900,1703001000,20,0.5,9.80E-05,1703001000,Attack,Attack-TCP-Flag-OSYN
40,20,0.5,0.0018,20,20,0.5,0.0018,20,1024,0.5,1703001000,20,0,0,1703001000,20,1109.3108,1,1703001000,20,554.6554,0,1703001000,20,554.6554,0.0018,1703001000,20,1,0.001802921,1703001000,20,1,0.0018029213,1703001000,20,0.5,0.001802921,1703001000,Attack,Attack-TCP-Flag-OSYN
60,40,0.5,1.00E-04,40,40,0.5,1.00E-04,20,64240,0.5,1703001000,30,0,0,1703001000,30,24745.156,1,1703001000,20,12372.578,0,1703001000,40,12372.578,1.00E-04,1703001000,40,1,8.08E-05,1703001000,40,1,0.0000808239,1703001000,40,0.5,8.08E-05,1703001000,Attack,Attack-TCP-Flag-OSYN
60,40,0.5,0.0002,40,40,0.5,0.0002,20,64240,0.5,1703001000,30,0,0,1703001000,30,12122.266,1,1703001000,20,6061.133,0,1703001000,40,6061.133,0.0002,1703001000,40,1,0.000164986,1703001000,40,1,0.0001649857,1703001000,40,0.5,0.000164986,1703001000,Attack,Attack-TCP-Flag-OSYN
60,40,0.5,1.00E-04,40,40,0.5,1.00E-04,20,64240,0.5,1703001000,30,0,0,1703001000,30,16810.838,1,1703001000,20,8405.419,0,1703001000,40,8405.419,1.00E-04,1703001000,40,1,0.000118971,1703001000,40,1,0.0001189709,1703001000,40,0.5,0.000118971,1703001000,Attack,Attack-TCP-Flag-OSYN
60,40,0.5,1.00E-04,40,40,0.5,1.00E-04,20,64240,0.5,1703001000,30,0,0,1703001000,30,17225.068,1,1703001000,20,8612.534,0,1703001000,40,8612.534,1.00E-04,1703001000,40,1,0.00011611,1703001000,40,1,0.0001161099,1703001000,40,0.5,0.00011611,1703001000,Attack,Attack-TCP-Flag-OSYN
