total_header_bytes,fwd_median_header_bytes,rst_flag_percentage_in_total,packets_IAT_median,max_header_bytes,fwd_mode_header_bytes,fwd_syn_flag_percentage_in_total,packets_IAT_mode,min_header_bytes,fwd_init_win_bytes,bwd_rst_flag_percentage_in_total,fwd_packets_IAT_mean,mean_header_bytes,bwd_init_win_bytes,fwd_psh_flag_percentage_in_fwd_packets,fwd_packets_IAT_max,median_header_bytes,packets_rate,fwd_syn_flag_percentage_in_fwd_packets,fwd_packets_IAT_min,mode_header_bytes,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,fwd_packets_IAT_total,fwd_total_header_bytes,fwd_packets_rate,packets_IAT_mean,fwd_packets_IAT_median,fwd_max_header_bytes,rst_flag_counts,packet_IAT_max,fwd_packets_IAT_mode,fwd_min_header_bytes,bwd_rst_flag_counts,packet_IAT_min,bwd_packets_IAT_total,fwd_mean_header_bytes,syn_flag_percentage_in_total,packet_IAT_total,bwd_packets_IAT_mode,label,activity
60,20.0,0.33333334,0.0,20,20.0,0.6666667,0.0,20,1024,0.33333334,0.0,20.0,0,0.0,1.7881393e-05,20.0,53544.305,1.0,1.7881393e-05,20.0,17848.102,0.0,1.7881393e-05,40,35696.203,0.0,0.0,20,1,3.8146973e-05,0.0,20,1,1.7881393e-05,1702562600.0,20.0,0.6666667,5.6028366e-05,1702562600.0,Benign,Benign-Web_Browsing_HTTP-S
20,0.0,1.0,1702562600.0,20,0.0,0.0,1702562600.0,20,0,1.0,0.0,20.0,0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,1702562600.0,0.0,0,1,1702562600.0,0.0,0,1,1702562600.0,1702562600.0,0.0,0.0,1702562600.0,1702562600.0,Benign,Benign-Web_Browsing_HTTP-S
60,20.0,0.33333334,0.0,20,20.0,0.33333334,0.0,20,1024,0.33333334,1702562600.0,20.0,1024,0.0,1702562600.0,20.0,149796.58,1.0,1702562600.0,20.0,99864.38,0.0,1702562600.0,20,49932.19,0.0,1702562600.0,20,1,1.1920929e-05,1702562600.0,20,1,8.106232e-06,2.002716e-05,20.0,0.6666667,2.002716e-05,0.0,Benign,Benign-Web_Browsing_HTTP-S
20,0.0,1.0,1702562600.0,20,0.0,0.0,1702562600.0,20,0,1.0,0.0,20.0,0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,1702562600.0,0.0,0,1,1702562600.0,0.0,0,1,1702562600.0,1702562600.0,0.0,0.0,1702562600.0,1702562600.0,Benign,Benign-Web_Browsing_HTTP-S
60,20.0,0.33333334,0.0,20,20.0,0.33333334,0.0,20,1024,0.33333334,1702562600.0,20.0,1024,0.0,1702562600.0,20.0,228780.22,1.0,1702562600.0,20.0,152520.14,0.0,1702562600.0,20,76260.07,0.0,1702562600.0,20,1,1.0967255e-05,1702562600.0,20,1,2.1457672e-06,1.3113022e-05,20.0,0.6666667,1.3113022e-05,0.0,Benign,Benign-Web_Browsing_HTTP-S
20,0.0,1.0,1702562600.0,20,0.0,0.0,1702562600.0,20,0,1.0,0.0,20.0,0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,1702562600.0,0.0,0,1,1702562600.0,0.0,0,1,1702562600.0,1702562600.0,0.0,0.0,1702562600.0,1702562600.0,Benign,Benign-Web_Browsing_HTTP-S
940,20.0,0.0,0.0003,20,20.0,0.0,0.0,20,1024,0.0,5.7455,20.0,124,0.9142857,32.514,20.0,0.24059604,0.0,1.9073486e-06,20.0,0.061428778,0.33333334,195.34819,700,0.17916727,4.2467,0.0003,20,0,32.50017,0.0,20,0,1.9073486e-06,195.31987,20.0,0.0,195.34819,0.0,Benign,Benign-Web_Browsing_HTTP-S
20,0.0,1.0,1702562700.0,20,0.0,0.0,1702562700.0,20,0,1.0,0.0,20.0,0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,1702562700.0,0.0,0,1,1702562700.0,0.0,0,1,1702562700.0,1702562700.0,0.0,0.0,1702562700.0,1702562700.0,Benign,Benign-Web_Browsing_HTTP-S
20,0.0,1.0,1702562700.0,20,0.0,0.0,1702562700.0,20,0,1.0,0.0,20.0,0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,1702562700.0,0.0,0,1,1702562700.0,0.0,0,1,1702562700.0,1702562700.0,0.0,0.0,1702562700.0,1702562700.0,Benign,Benign-Web_Browsing_HTTP-S
20,20.0,1.0,1702562700.0,20,20.0,0.0,1702562700.0,20,0,0.0,1702562700.0,20.0,0,0.0,1702562700.0,20.0,0.0,0.0,1702562700.0,20.0,0.0,0.0,1702562700.0,20,0.0,1702562700.0,1702562700.0,20,1,1702562700.0,1702562700.0,20,0,1702562700.0,0.0,20.0,0.0,1702562700.0,0.0,Benign,Benign-Web_Browsing_HTTP-S
