feature,importance,importance_percentage,rank
fwd_packets_IAT_median,0.04170876559862213,4.170876559862213,1
fwd_packets_IAT_max,0.04009231098518556,4.009231098518556,2
fwd_packets_IAT_total,0.03994939392092543,3.9949393920925433,3
fwd_packets_IAT_min,0.036018391742249405,3.6018391742249403,4
fwd_packets_IAT_mode,0.035407097802532886,3.5407097802532888,5
mean_header_bytes,0.03504406594178792,3.504406594178792,6
packets_IAT_mode,0.032881329420153316,3.2881329420153316,7
packet_IAT_min,0.032324217918193204,3.2324217918193203,8
fwd_packets_IAT_mean,0.032137122226616376,3.2137122226616377,9
packets_IAT_mean,0.030360777862458357,3.0360777862458357,10
mode_header_bytes,0.029381467736865938,2.9381467736865936,11
packet_IAT_total,0.02855249053180616,2.855249053180616,12
fwd_mean_header_bytes,0.02827999279206107,2.827999279206107,13
fwd_max_header_bytes,0.02608791539905267,2.608791539905267,14
packet_IAT_max,0.025915851885947763,2.5915851885947765,15
fwd_mode_header_bytes,0.02556949921035956,2.556949921035956,16
fwd_median_header_bytes,0.02253965086522871,2.253965086522871,17
packets_IAT_median,0.022389522954396602,2.23895229543966,18
median_header_bytes,0.018825133625795208,1.8825133625795207,19
min_header_bytes,0.018595467827584238,1.8595467827584238,20
max_header_bytes,0.01848846363972275,1.848846363972275,21
fwd_min_header_bytes,0.01665841473737912,1.665841473737912,22
fwd_total_header_bytes,0.016539430398928585,1.6539430398928585,23
bwd_packets_IAT_total,0.012477062227405073,1.2477062227405074,24
bwd_packets_IAT_min,0.012120212171741704,1.2120212171741704,25
src_port,0.011898327449233234,1.1898327449233235,26
bwd_packets_IAT_max,0.0113834808363367,1.13834808363367,27
fwd_init_win_bytes,0.011165238507716477,1.1165238507716477,28
dst_port,0.011034786885796417,1.1034786885796417,29
total_header_bytes,0.010463573551721022,1.0463573551721022,30
median_packets_delta_time,0.010309778513688271,1.030977851368827,31
mean_bwd_packets_delta_time,0.009390670870488914,0.9390670870488914,32
bwd_packets_IAT_median,0.009043176648139648,0.9043176648139648,33
max_bwd_packets_delta_time,0.008746815713679747,0.8746815713679748,34
duration,0.00867032785474242,0.8670327854742419,35
median_packets_delta_len,0.008599582376513903,0.8599582376513903,36
min_bwd_packets_delta_time,0.008545863945091358,0.8545863945091359,37
bwd_packets_IAT_mode,0.007955300938640615,0.7955300938640615,38
mean_packets_delta_time,0.007929249429476372,0.7929249429476373,39
bwd_packets_IAT_mean,0.007422592248990278,0.7422592248990277,40
max_packets_delta_len,0.006284561293738747,0.6284561293738747,41
mode_packets_delta_time,0.006117131707489656,0.6117131707489656,42
median_bwd_packets_delta_time,0.005715397150555908,0.5715397150555908,43
packets_rate,0.00563762232497228,0.563762232497228,44
syn_flag_percentage_in_total,0.005584565091877726,0.5584565091877726,45
mode_bwd_packets_delta_time,0.005092677972280334,0.5092677972280334,46
mean_packets_delta_len,0.004463870718584739,0.44638707185847387,47
ack_flag_percentage_in_total,0.004415134675676031,0.4415134675676031,48
min_bwd_packets_delta_len,0.004317800214618663,0.43178002146186634,49
mode_packets_delta_len,0.0040380603921858545,0.40380603921858543,50
fwd_packets_rate,0.00398587549430991,0.39858754943099095,51
bwd_packets_count,0.003949642390314102,0.3949642390314102,52
mean_bwd_packets_delta_len,0.0038457330300156176,0.3845733030015618,53
mode_bwd_packets_delta_len,0.0038201237022291103,0.382012370222911,54
bwd_ack_flag_percentage_in_total,0.0037301171845362797,0.37301171845362796,55
fwd_syn_flag_percentage_in_total,0.003538630696789713,0.3538630696789713,56
ack_flag_counts,0.0034735046214786143,0.3473504621478614,57
mean_header_bytes_delta_len,0.003353601859760083,0.3353601859760083,58
rst_flag_percentage_in_total,0.00332266976560531,0.332266976560531,59
max_bwd_packets_delta_len,0.003266349713687115,0.3266349713687115,60
bwd_packets_rate,0.003122834539667335,0.31228345396673346,61
variance_header_bytes,0.0029639181625446816,0.29639181625446814,62
syn_flag_counts,0.0029029561498388435,0.29029561498388434,63
min_packets_delta_len,0.002866227311727544,0.2866227311727544,64
bwd_total_header_bytes,0.0026591660231946933,0.26591660231946934,65
handshake_state,0.002652491266002808,0.2652491266002808,66
cov_header_bytes,0.0024977391188571803,0.24977391188571804,67
max_fwd_packets_delta_time,0.002491209651831072,0.2491209651831072,68
cov_packets_delta_time,0.002454825352647166,0.2454825352647166,69
packets_IAT_cov,0.0023532258414592894,0.23532258414592894,70
median_bwd_packets_delta_len,0.002280800569310681,0.2280800569310681,71
std_header_bytes,0.002198204826837868,0.21982048268378682,72
max_header_bytes_delta_len,0.0021865467847746994,0.21865467847746994,73
min_header_bytes_delta_len,0.002129172964942503,0.21291729649425029,74
std_packets_delta_time,0.002057193995515136,0.2057193995515136,75
rst_flag_counts,0.0020543700350425537,0.20543700350425537,76
bwd_median_header_bytes,0.0020167298594061744,0.20167298594061744,77
median_fwd_packets_delta_time,0.0019321768589751797,0.19321768589751798,78
down_up_rate,0.0018450766024497172,0.18450766024497173,79
bwd_ack_flag_percentage_in_bwd_packets,0.001828970729674857,0.1828970729674857,80
fwd_syn_flag_counts,0.0018175102250212092,0.1817510225021209,81
bwd_init_win_bytes,0.0017636098642230687,0.17636098642230688,82
packets_count,0.0017280176826536897,0.17280176826536897,83
min_fwd_packets_delta_time,0.0017217247734224847,0.17217247734224847,84
median_header_bytes_delta_len,0.001701947801889789,0.1701947801889789,85
mode_header_bytes_delta_len,0.0015612579630498735,0.15612579630498735,86
bwd_min_header_bytes,0.0015463069904081285,0.15463069904081284,87
bwd_ack_flag_counts,0.0014995425773083745,0.14995425773083745,88
fwd_ack_flag_percentage_in_total,0.0014662654019823413,0.14662654019823412,89
bwd_rst_flag_percentage_in_bwd_packets,0.0014371919554282619,0.1437191955428262,90
variance_packets_delta_time,0.0014033251888908018,0.1403325188890802,91
bwd_rst_flag_percentage_in_total,0.0012508295593944016,0.12508295593944016,92
fwd_syn_flag_percentage_in_fwd_packets,0.0011791716654064623,0.11791716654064623,93
bwd_mode_header_bytes,0.0011490605286793528,0.11490605286793529,94
fwd_ack_flag_counts,0.0011408129175524875,0.11408129175524875,95
fwd_rst_flag_percentage_in_total,0.0011184825852327141,0.11184825852327142,96
fwd_rst_flag_counts,0.0010648552805279429,0.10648552805279429,97
mode_fwd_packets_delta_time,0.0010619267765927397,0.10619267765927397,98
fwd_ack_flag_percentage_in_fwd_packets,0.0010020546239234605,0.10020546239234605,99
packets_IAT_variance,0.0009464191332357385,0.09464191332357386,100
bwd_mean_header_bytes,0.000939438496449586,0.0939438496449586,101
fwd_rst_flag_percentage_in_fwd_packets,0.0009007438182463795,0.09007438182463795,102
bwd_max_header_bytes,0.0008408890441485926,0.08408890441485926,103
mean_fwd_packets_delta_time,0.0006259945064777835,0.06259945064777835,104
fwd_packets_count,0.0005283184108217575,0.05283184108217576,105
std_bwd_packets_delta_len,0.0005110813957524974,0.05110813957524974,106
min_fwd_packets_delta_len,0.000454091699061169,0.045409169906116896,107
bwd_rst_flag_counts,0.0004493879135463624,0.04493879135463624,108
std_fwd_packets_delta_len,0.00044711467625742644,0.04471146762574264,109
variance_bwd_packets_delta_time,0.0004159030590783592,0.04159030590783592,110
mode_fwd_packets_delta_len,0.0004050807855893546,0.04050807855893546,111
fwd_packets_IAT_std,0.0004025736177093617,0.040257361770936174,112
fwd_packets_IAT_cov,0.00036643224688011165,0.036643224688011164,113
std_packets_delta_len,0.00030889907746823177,0.030889907746823177,114
cov_bwd_packets_delta_time,0.0003068255351568765,0.03068255351568765,115
cov_fwd_packets_delta_time,0.00028211222783988904,0.028211222783988903,116
mean_fwd_packets_delta_len,0.0002738737694920773,0.02738737694920773,117
packet_IAT_std,0.00026919971524729793,0.026919971524729795,118
variance_packets_delta_len,0.00026457336315583563,0.026457336315583564,119
bwd_packets_IAT_cov,0.00024329223112070183,0.024329223112070184,120
std_fwd_packets_delta_time,0.00022879776179159602,0.0228797761791596,121
skewness_packets_delta_time,0.00022497693119760226,0.022497693119760225,122
packets_IAT_skewness,0.00021687926468373615,0.021687926468373614,123
skewness_packets_delta_len,0.00020917105931590296,0.020917105931590296,124
std_bwd_packets_delta_time,0.00019915256334636282,0.019915256334636283,125
fwd_std_header_bytes,0.00016812830581241811,0.016812830581241812,126
subflow_fwd_packets,0.00015888460635606386,0.015888460635606387,127
cov_bwd_packets_delta_len,0.00015679831379762852,0.01567983137976285,128
variance_bwd_packets_delta_len,0.00015443947899521375,0.015443947899521375,129
bwd_packets_IAT_std,0.00015409734786007471,0.015409734786007472,130
bwd_syn_flag_percentage_in_total,0.0001482454680124376,0.01482454680124376,131
bwd_syn_flag_counts,0.0001453440436073219,0.014534404360732191,132
fwd_bytes_rate,0.00013461561317058615,0.013461561317058614,133
bwd_variance_header_bytes,0.00012957959571704142,0.012957959571704142,134
fwd_packets_IAT_variance,0.000128258239422411,0.012825823942241101,135
fin_flag_percentage_in_total,0.00012793479216465588,0.012793479216465588,136
min_fwd_header_bytes_delta_len,0.00012559133140287109,0.012559133140287108,137
avg_segment_size,0.00011679875199911696,0.011679875199911696,138
variance_fwd_packets_delta_time,0.00011326995985892631,0.01132699598589263,139
