feature,importance,importance_percentage,rank
fwd_packets_IAT_median,0.04170876559862213,4.170876559862213,1
fwd_packets_IAT_max,0.04009231098518556,4.009231098518556,2
fwd_packets_IAT_total,0.03994939392092543,3.9949393920925433,3
fwd_packets_IAT_min,0.036018391742249405,3.6018391742249403,4
fwd_packets_IAT_mode,0.035407097802532886,3.5407097802532888,5
mean_header_bytes,0.03504406594178792,3.504406594178792,6
packets_IAT_mode,0.032881329420153316,3.2881329420153316,7
packet_IAT_min,0.032324217918193204,3.2324217918193203,8
fwd_packets_IAT_mean,0.032137122226616376,3.2137122226616377,9
packets_IAT_mean,0.030360777862458357,3.0360777862458357,10
mode_header_bytes,0.029381467736865938,2.9381467736865936,11
packet_IAT_total,0.02855249053180616,2.855249053180616,12
fwd_mean_header_bytes,0.02827999279206107,2.827999279206107,13
fwd_max_header_bytes,0.02608791539905267,2.608791539905267,14
packet_IAT_max,0.025915851885947763,2.5915851885947765,15
fwd_mode_header_bytes,0.02556949921035956,2.556949921035956,16
fwd_median_header_bytes,0.02253965086522871,2.253965086522871,17
packets_IAT_median,0.022389522954396602,2.23895229543966,18
median_header_bytes,0.018825133625795208,1.8825133625795207,19
min_header_bytes,0.018595467827584238,1.8595467827584238,20
max_header_bytes,0.01848846363972275,1.848846363972275,21
fwd_min_header_bytes,0.01665841473737912,1.665841473737912,22
fwd_total_header_bytes,0.016539430398928585,1.6539430398928585,23
bwd_packets_IAT_total,0.012477062227405073,1.2477062227405074,24
bwd_packets_IAT_min,0.012120212171741704,1.2120212171741704,25
src_port,0.011898327449233234,1.1898327449233235,26
bwd_packets_IAT_max,0.0113834808363367,1.13834808363367,27
fwd_init_win_bytes,0.011165238507716477,1.1165238507716477,28
dst_port,0.011034786885796417,1.1034786885796417,29
total_header_bytes,0.010463573551721022,1.0463573551721022,30
median_packets_delta_time,0.010309778513688271,1.030977851368827,31
mean_bwd_packets_delta_time,0.009390670870488914,0.9390670870488914,32
bwd_packets_IAT_median,0.009043176648139648,0.9043176648139648,33
max_bwd_packets_delta_time,0.008746815713679747,0.8746815713679748,34
duration,0.00867032785474242,0.8670327854742419,35
median_packets_delta_len,0.008599582376513903,0.8599582376513903,36
min_bwd_packets_delta_time,0.008545863945091358,0.8545863945091359,37
bwd_packets_IAT_mode,0.007955300938640615,0.7955300938640615,38
mean_packets_delta_time,0.007929249429476372,0.7929249429476373,39
bwd_packets_IAT_mean,0.007422592248990278,0.7422592248990277,40
