activity,bwd_init_win_bytes,bwd_packets_IAT_mode,bwd_packets_IAT_total,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,bwd_rst_flag_counts,bwd_rst_flag_percentage_in_total,fwd_init_win_bytes,fwd_max_header_bytes,fwd_mean_header_bytes,fwd_median_header_bytes,fwd_min_header_bytes,fwd_mode_header_bytes,fwd_packets_IAT_max,fwd_packets_IAT_mean,fwd_packets_IAT_median,fwd_packets_IAT_min,fwd_packets_IAT_mode,fwd_packets_IAT_total,fwd_packets_rate,fwd_psh_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_total,fwd_total_header_bytes,label,max_header_bytes,mean_header_bytes,median_header_bytes,min_header_bytes,mode_header_bytes,packet_IAT_max,packet_IAT_min,packet_IAT_total,packets_IAT_mean,packets_IAT_median,packets_IAT_mode,packets_rate,rst_flag_counts,rst_flag_percentage_in_total,syn_flag_percentage_in_total,total_header_bytes
Attack-TCP-Flag-ACK-PSH,1024,0.0079599518,0.0079599518,11413.008,0.0,1,0.5,1024,20,20.0,20.0,20,20.0,1.6993338e-05,1.6993338e-05,1.6993338e-05,1.6993338e-05,1.6993338e-05,1.6993338e-05,11413.008,0.0,1.0,0.5,20,Attack,20,20.0,20.0,20,20.0,5.3149115e-05,5.3149115e-05,0.0079599518,0.010016044,0.01,0.01,22826.016,1,0.5,0.5,40
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,0.0,0.0,0.0,0.0,20,Attack,20,20.0,20.0,20,20.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,0.0,1,1.0,0.0,20
Attack-TCP-Flag-ACK-PSH,64000,0.10796608,0.10796608,9.0895834,0.0,1,0.5,29200,32,32.0,32.0,32,32.0,0.10796608,0.10796608,0.10796608,0.10796608,0.10796608,0.10796608,9.0895834,0.0,1.0,0.5,32,Attack,32,26.0,26.0,20,20.0,0.10796608,0.10796608,0.10796608,0.11,0.11,0.11,18.179166,1,0.5,0.5,52
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,64240,20,20.0,20.0,20,20.0,1702932100.0,1702932100.0,1702932100.0,1702932100.0,1702932100.0,1702932100.0,0.0,0.0,1.0,1.0,20,Attack,20,20.0,20.0,20,20.0,1702932100.0,1702932100.0,1702932100.0,1702932100.0,1702932100.0,1702932100.0,0.0,0,0.0,1.0,20
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,65535,24,24.0,24.0,24,24.0,1702932600.0,1702932600.0,1702932600.0,1702932600.0,1702932600.0,1702932600.0,0.0,0.0,1.0,1.0,24,Attack,24,24.0,24.0,24,24.0,1702932600.0,1702932600.0,1702932600.0,1702932600.0,1702932600.0,1702932600.0,0.0,0,0.0,1.0,24
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,1200,20,20.0,20.0,20,20.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,0.0,0.0,0.0,0.0,20,Attack,20,20.0,20.0,20,20.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,0.0,1,1.0,0.0,20
Attack-TCP-Flag-ACK-PSH,0,1702932500.0,1702932500.0,946.5068,0.0,1,0.5,29040,20,20.0,20.0,20,20.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,1702932500.0,946.5068,0.0,1.0,0.5,20,Attack,20,20.0,20.0,20,20.0,0.01204314,0.01204314,0.01204314,0.012,0.012,0.012,1893.0137,1,0.5,0.5,40
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,1025,24,24.0,24.0,24,24.0,1702931500.0,1702931500.0,1702931500.0,1702931500.0,1702931500.0,1702931500.0,0.0,0.0,1.0,1.0,24,Attack,24,24.0,24.0,24,24.0,1702931500.0,1702931500.0,1702931500.0,1702931500.0,1702931500.0,1702931500.0,0.0,0,0.0,1.0,24
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,1200,20,20.0,20.0,20,20.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,0.0,0.0,0.0,0.0,20,Attack,20,20.0,20.0,20,20.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,0.0,0,0.0,0.0,20
Attack-TCP-Flag-ACK-PSH,0,1702933000.0,1702933000.0,5451.6718,0.0,1,0.5,64240,40,40.0,40.0,40,40.0,1702933000.0,1702933000.0,1702933000.0,1702933000.0,1702933000.0,1702933000.0,5451.6718,0.0,1.0,0.5,40,Attack,40,30.0,30.0,20,20.0,0.00023401305,0.00023401305,0.00023401305,0.0002,0.0002,0.0002,10903.343,1,0.5,0.5,60
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,65535,24,24.0,24.0,24,24.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,0.0,0.0,1.0,1.0,24,Attack,24,24.0,24.0,24,24.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,0.0,0,0.0,1.0,24
Attack-TCP-Flag-ACK-PSH,62602,0.1074,0.10739405,18.572919,0.0,1,0.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Attack,20,20.0,20.0,20,20.0,0.10739405,0.10739405,0.10739405,0.1074,0.1074,0.1074,18.572919,1,0.5,0.0,40
Attack-TCP-Flag-ACK-PSH,62599,0.1101,0.11009996,18.174955,0.0,1,0.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Attack,20,20.0,20.0,20,20.0,0.11009996,0.11009996,0.11009996,0.1101,0.1101,0.1101,18.174955,1,0.5,0.0,40
Attack-TCP-Flag-ACK-PSH,62602,0.11,0.10997388,18.18291,0.0,1,0.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Attack,20,20.0,20.0,20,20.0,0.10997388,0.10997388,0.10997388,0.11,0.11,0.11,18.18291,1,0.5,0.0,40
Attack-TCP-Flag-ACK-PSH,0,1702932700.0,1702932700.0,8715.752,0.0,1,0.5,65535,24,24.0,24.0,24,24.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,1702932700.0,8715.752,0.0,1.0,0.5,24,Attack,24,22.0,22.0,20,20.0,0.0011390096,0.0011390096,0.0011390096,0.0011,0.0011,0.0011,17451.504,1,0.5,0.5,44
Attack-TCP-Flag-ACK-PSH,0,1702931800.0,1702931800.0,6893.416,0.0,1,0.5,64240,40,40.0,40.0,40,40.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,1702931800.0,6893.416,0.0,1.0,0.5,40,Attack,40,30.0,30.0,20,20.0,0.00014195192,0.00014195192,0.00014195192,0.0001,0.0001,0.0001,13786.832,1,0.5,0.5,60
Attack-TCP-Flag-ACK-PSH,0,0.0,0.0,0.0,0.0,0,0.0,1024,20,20.0,20.0,20,20.0,1702932400.0,1702932400.0,1702932400.0,1702932400.0,1702932400.0,1702932400.0,0.0,0.0,1.0,1.0,20,Attack,20,20.0,20.0,20,20.0,1702932400.0,1702932400.0,1702932400.0,1702932400.0,1702932400.0,1702932400.0,0.0,0,0.0,1.0,20
Attack-TCP-Flag-ACK-PSH,65020,0.10505005,0.07111104,2.1861743,0.2,1,0.5,1024,20,18.6,20.0,20,20.0,3.1428573,7.202266,7.0,2.8706997,5.5555554,1.7029331,1.0082405,0.11111111,0.16666667,0.11111111,32,Attack,20,19.0,20.0,20,20.0,0.11002713,0.00010303,0.10215179,0.0096,0.0001,0.0001,3.169959,1,0.5,0.11111111,52
Attack-TCP-Flag-ACK-PSH,64000,0.1093,0.109314995,18.311504,0.0,1,0.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Attack,20,20.0,20.0,20,20.0,0.109314995,0.109314995,0.109314995,0.1093,0.1093,0.1093,18.311504,1,0.5,0.0,40
