activity,bwd_init_win_bytes,bwd_packets_IAT_mode,bwd_packets_IAT_total,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,bwd_rst_flag_counts,bwd_rst_flag_percentage_in_total,fwd_init_win_bytes,fwd_max_header_bytes,fwd_mean_header_bytes,fwd_median_header_bytes,fwd_min_header_bytes,fwd_mode_header_bytes,fwd_packets_IAT_max,fwd_packets_IAT_mean,fwd_packets_IAT_median,fwd_packets_IAT_min,fwd_packets_IAT_mode,fwd_packets_IAT_total,fwd_packets_rate,fwd_psh_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_total,fwd_total_header_bytes,label,max_header_bytes,mean_header_bytes,median_header_bytes,min_header_bytes,mode_header_bytes,packet_IAT_max,packet_IAT_min,packet_IAT_total,packets_IAT_mean,packets_IAT_median,packets_IAT_mode,packets_rate,rst_flag_counts,rst_flag_percentage_in_total,syn_flag_percentage_in_total,total_header_bytes
Benign-Web_Browsing_HTTP-S,26928,1.0021,21.002381,0.050038507,0.0,0,0.0,29135,32,26.0,26.0,20,20.0,20.001044,7.366,5.501,0.0013159,0.0013,21.002381,0.100037014,0.0,0.5,0.33333334,52,Benign,32,26.0,26.0,20,20.0,20.001044,0.0013159,21.002381,7.366,5.501,0.0013,0.15011551,0,0.0,0.33333334,52
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,4026,20,20.0,20.0,20,20.0,1702565100.0,1702565100.0,1702565100.0,1702565100.0,1702565100.0,1702565100.0,0.0,0.0,0.0,0.0,80,Benign,20,20.0,20.0,20,20.0,1702565100.0,1702565100.0,1702565100.0,1702565100.0,1702565100.0,1702565100.0,0.0,0,0.0,0.0,80
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,2056,20,20.0,20.0,20,20.0,1702575400.0,1702575400.0,1702575400.0,1702575400.0,1702575400.0,1702575400.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702575400.0,1702575400.0,1702575400.0,1702575400.0,1702575400.0,1702575400.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,1021,20,20.0,20.0,20,20.0,1702572400.0,1702572400.0,1702572400.0,1702572400.0,1702572400.0,1702572400.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702572400.0,1702572400.0,1702572400.0,1702572400.0,1702572400.0,1702572400.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,293,20.007,20.006998,0.082678185,0.0476,0,0.0,286,20,20.0,20.0,20,20.0,19.999988,10.0,0.0298,6.0139064e-05,0.0271,40.006997,0.16155537,0.0,0.0,0.0,64,Benign,40,24.8,20.0,20,20.0,49.999989,1.0020047e-05,60.007004,7.0449,0.0071,0.0,0.16155537,0,0.0,0.02,124
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702571300.0,1702571300.0,1702571300.0,1702571300.0,1702571300.0,1702571300.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702571300.0,1702571300.0,1702571300.0,1702571300.0,1702571300.0,1702571300.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,5023,20,20.0,20.0,20,20.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702570300.0,1702570300.0,1702570300.0,1702570300.0,1702570300.0,1702570300.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702570300.0,1702570300.0,1702570300.0,1702570300.0,1702570300.0,1702570300.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,65535,0.0029,20.928181,0.166363175,0.0,0,0.0,64240,20,20.0,20.0,20,20.0,10.870895,4.1857,2.1048,0.011059095,0.0012,20.928191,0.33273585,0.0,0.0,0.0,80,Benign,20,20.0,20.0,20,20.0,10.866907,0.0011817,20.928191,2.1067,0.0042,0.0012,0.49909955,0,0.0,0.0,100
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,1025,20,20.0,20.0,20,20.0,1702575800.0,1702575800.0,1702575800.0,1702575800.0,1702575800.0,1702575800.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702575800.0,1702575800.0,1702575800.0,1702575800.0,1702575800.0,1702575800.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,29800,0.2155,0.21550583,9.663311,0.0,0,0.0,29300,20,20.0,20.0,20,20.0,1702567600.0,1702567600.0,1702567600.0,1702567600.0,1702567600.0,1702567600.0,4.781645,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,0.21550583,0.015833328,0.21550204,0.1082,0.1082,0.1082,14.444956,0,0.0,0.0,40
Benign-Web_Browsing_HTTP-S,1040,1702563600.0,1702563600.0,0.0,0.0,1,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Benign,20,20.0,20.0,20,20.0,1702563600.0,1702563600.0,1702563600.0,1702563600.0,1702563600.0,1702563600.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,2055,20,20.0,20.0,20,20.0,1702563500.0,1702563500.0,1702563500.0,1702563500.0,1702563500.0,1702563500.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702563500.0,1702563500.0,1702563500.0,1702563500.0,1702563500.0,1702563500.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,26538,1702574900.0,1702574900.0,28.055915,0.0,0,0.0,26538,20,20.0,20.0,20,20.0,1702574900.0,1702574900.0,1702574900.0,1702574900.0,1702574900.0,1702574900.0,28.055915,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,0.06498795,0.0,0.06498795,0.032,0.032,0.0,56.11183,0,0.0,0.0,40
Benign-Web_Browsing_HTTP-S,29200,0.0889,0.08884493,29.058465,0.0,0,0.0,29200,20,20.0,20.0,20,20.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,29.058465,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,0.08844487,0.0002810594,0.08884493,0.0353,0.035,0.0003,58.11693,1,0.5,0.0,40
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702565800.0,1702565800.0,1702565800.0,1702565800.0,1702565800.0,1702565800.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702565800.0,1702565800.0,1702565800.0,1702565800.0,1702565800.0,1702565800.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,64240,0.006,0.006043946,162.5707,0.5,0,0.0,64240,32,28.0,32.0,20,32.0,0.006043946,0.006,0.006,0.006043946,0.006,0.006043946,148.3405,0.5,0.0,0.0,56,Benign,32,28.0,32.0,20,32.0,0.006043946,0.006043946,0.006043946,0.006,0.006,0.006,310.9113,0,0.0,0.0,56
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,62797,24,24.0,24.0,24,24.0,0.20049903,0.1003,0.1002,0.00014197537,0.0001,0.20064097,19.04405,0.0,1.0,1.0,72,Benign,24,24.0,24.0,24,24.0,0.20049903,0.00014197537,0.20064097,0.1002,0.1002,0.0001,19.04405,0,0.0,1.0,72
Benign-Web_Browsing_HTTP-S,65535,0.0,1.0029264e-05,29665.704,0.0,1,0.33333334,65535,20,20.0,20.0,20,20.0,1.0031167e-05,0.0,0.0,1.0031167e-05,0.0,1.0031167e-05,14531.875,0.0,1.0,0.6666667,40,Benign,20,20.0,20.0,20,20.0,3.0010052e-05,1.0031167e-05,4.0051346e-05,0.0,0.0,0.0,44197.56,1,0.33333334,0.6666667,60
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702565400.0,1702565400.0,1702565400.0,1702565400.0,1702565400.0,1702565400.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702565400.0,1702565400.0,1702565400.0,1702565400.0,1702565400.0,1702565400.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,146,5.0067,139.00607,0.18505489,0.16666666,0,0.0,128,20,20.0,20.0,20,20.0,58.032032,19.4411,5.0067,9.287965e-06,5.0276,139.00607,0.36606183,0.175,0.0,0.0,800,Benign,20,20.0,20.0,20,20.0,58.032032,9.2899148e-06,139.01301,2.9199,0.0016,0.0005,0.5511167,0,0.0,0.0,1160
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,0,20,20.0,20.0,20,20.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,1702572200.0,0.0,1,1.0,0.0,20
Benign-Web_Browsing_HTTP-S,501,5.010006e-05,5.010006e-05,45723.04,0.5,0,0.0,501,28,20.0,20.0,20,20.0,7.0130325e-05,0.0,0.0,9.05993e-06,0.0,1.01399887e-04,69235.95,0.5,0.6667,0.6667,40,Benign,28,23.6667,26.0,20,20.0,7.0130325e-05,9.05993e-06,1.01399887e-04,0.0,0.0,0.0,115059.08,0,0.0,0.6667,68
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,65535,24,24.0,24.0,24,24.0,2.0020664,2.0021,2.0021,2.0020664,2.0021,2.0020664,1021.1164,0.0,1.0,1.0,72,Benign,24,24.0,24.0,24,24.0,2.0020664,2.0020664,2.0020664,2.001,2.001,2.001,1021.1164,0,0.0,1.0,72
Benign-Web_Browsing_HTTP-S,0,1702566900.0,1702566900.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Benign,20,20.0,20.0,20,20.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,1702566900.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,0,0.0,0.0,0.0,0.0,0,0.0,1029,20,20.0,20.0,20,20.0,1702565000.0,1702565000.0,1702565000.0,1702565000.0,1702565000.0,1702565000.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702565000.0,1702565000.0,1702565000.0,1702565000.0,1702565000.0,1702565000.0,0.0,0,0.0,0.0,20
Benign-Web_Browsing_HTTP-S,1074,0.2113,0.211330961,9.62991953,0.0,0,0.0,1028,20,20.0,20.0,20,20.0,1702570100.0,1702570100.0,1702570100.0,1702570100.0,1702570100.0,1702570100.0,4.8120088,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,0.20899494,0.0023359873,0.211330961,0.1078,0.1078,0.0023,14.4419283,0,0.0,0.0,60
Benign-Web_Browsing_HTTP-S,287,1702562600.0,1702562600.0,0.0,0.0,0,0.0,287,20,20.0,20.0,20,20.0,1702562600.0,1702562600.0,1702562600.0,1702562600.0,1702562600.0,1702562600.0,0.0,0.0,0.0,0.0,20,Benign,20,20.0,20.0,20,20.0,1702562600.0,1702562600.0,1702562600.0,1702562600.0,1702562600.0,1702562600.0,0.0,0,0.0,0.0,80
Benign-Web_Browsing_HTTP-S,0,1702573200.0,1702573200.0,0.0,0.0,1,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Benign,20,20.0,20.0,20,20.0,1702573200.0,1702573200.0,1702573200.0,1702573200.0,1702573200.0,1702573200.0,0.0,1,1.0,0.0,20
