total_header_bytes,fwd_median_header_bytes,rst_flag_percentage_in_total,packets_IAT_median,max_header_bytes,fwd_mode_header_bytes,fwd_syn_flag_percentage_in_total,packets_IAT_mode,min_header_bytes,fwd_init_win_bytes,bwd_rst_flag_percentage_in_total,fwd_packets_IAT_mean,mean_header_bytes,bwd_init_win_bytes,fwd_psh_flag_percentage_in_fwd_packets,fwd_packets_IAT_max,median_header_bytes,packets_rate,fwd_syn_flag_percentage_in_fwd_packets,fwd_packets_IAT_min,mode_header_bytes,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,fwd_packets_IAT_total,fwd_total_header_bytes,fwd_packets_rate,packets_IAT_mean,fwd_packets_IAT_median,fwd_max_header_bytes,rst_flag_counts,packet_IAT_max,fwd_packets_IAT_mode,fwd_min_header_bytes,bwd_rst_flag_counts,packet_IAT_min,bwd_packets_IAT_total,fwd_mean_header_bytes,syn_flag_percentage_in_total,packet_IAT_total,bwd_packets_IAT_mode,label,activity
60,40.0,0.5,1e-04,40,40.0,0.5,1e-04,20,29040,0.5,1702931500.0,30.0,0,0.0,1702931500.0,30.0,13797.053,1.0,1702931500.0,20.0,6898.5264,0.0,1702931500.0,40,6898.5264,1e-04,1702931500.0,40,1,0.0001449585,1702931500.0,40,1,0.0001449585,1702931500.0,40.0,0.5,0.0001449585,1702931500.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931500.0,20.0,0,0.0,1702931500.0,20.0,18682.87,1.0,1702931500.0,20.0,9341.435,0.0,1702931500.0,20,9341.435,1e-04,1702931500.0,20,1,0.00010704994,1702931500.0,20,1,0.00010704994,1702931500.0,20.0,0.5,0.00010704994,1702931500.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931500.0,20.0,0,0.0,1702931500.0,20.0,15505.745,1.0,1702931500.0,20.0,7752.8726,0.0,1702931500.0,20,7752.8726,1e-04,1702931500.0,20,1,0.00012898445,1702931500.0,20,1,0.00012898445,1702931500.0,20.0,0.5,0.00012898445,1702931500.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931500.0,20.0,0,0.0,1702931500.0,20.0,21290.883,1.0,1702931500.0,20.0,10645.441,0.0,1702931500.0,20,10645.441,1e-04,1702931500.0,20,1,9.393692e-05,1702931500.0,20,1,9.393692e-05,1702931500.0,20.0,0.5,9.393692e-05,1702931500.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931500.0,20.0,0,0.0,1702931500.0,20.0,31184.416,1.0,1702931500.0,20.0,15592.208,0.0,1702931500.0,20,15592.208,1e-04,1702931500.0,20,1,6.41346e-05,1702931500.0,20,1,6.41346e-05,1702931500.0,20.0,0.5,6.41346e-05,1702931500.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931500.0,20.0,0,0.0,1702931500.0,20.0,16644.064,1.0,1702931500.0,20.0,8322.032,0.0,1702931500.0,20,8322.032,1e-04,1702931500.0,20,1,0.000120162964,1702931500.0,20,1,0.000120162964,1702931500.0,20.0,0.5,0.000120162964,1702931500.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931600.0,20.0,0,0.0,1702931600.0,20.0,20020.545,1.0,1702931600.0,20.0,10010.272,0.0,1702931600.0,20,10010.272,1e-04,1702931600.0,20,1,9.9897385e-05,1702931600.0,20,1,9.9897385e-05,1702931600.0,20.0,0.5,9.9897385e-05,1702931600.0,Attack,Attack-TCP-Flag-ACK-PSH
384,20.0,0.055555556,0.0469,32,20.0,0.055555556,0.0,20,8192,0.0,0.1962,21.3333,64000,0.7,1.120286,20.0,10.192059,0.1,0.0,20.0,4.5298038,0.625,1.7660809,212,5.662255,0.1039,0.1126,32,1,0.95807004,0.0,20,0,0.0,1.654927,21.2,0.11111111,1.7660809,0.0356,Attack,Attack-TCP-Flag-ACK-PSH
52,0.0,0.5,0.001,32,0.0,0.0,0.001,20,0,0.5,0.0,26.0,490,0.0,0.0,26.0,2074.8474,0.0,0.0,20.0,2074.8474,0.0,0.0,0,0.0,0.001,0.0,0,1,0.0009639263,0.0,0,1,0.0009639263,0.0009639263,0.0,0.0,0.0009639263,0.001,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931600.0,20.0,0,0.0,1702931600.0,20.0,21959.707,1.0,1702931600.0,20.0,10979.854,0.0,1702931600.0,20,10979.854,1e-04,1702931600.0,20,1,9.10759e-05,1702931600.0,20,1,9.10759e-05,1702931600.0,20.0,0.5,9.10759e-05,1702931600.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931600.0,20.0,0,0.0,1702931600.0,20.0,28926.234,1.0,1702931600.0,20.0,14463.117,0.0,1702931600.0,20,14463.117,1e-04,1702931600.0,20,1,6.914139e-05,1702931600.0,20,1,6.914139e-05,1702931600.0,20.0,0.5,6.914139e-05,1702931600.0,Attack,Attack-TCP-Flag-ACK-PSH
60,40.0,0.5,1e-04,40,40.0,0.5,1e-04,20,29040,0.5,1702931600.0,30.0,0,0.0,1702931600.0,30.0,17848.102,1.0,1702931600.0,20.0,8924.051,0.0,1702931600.0,40,8924.051,1e-04,1702931600.0,40,1,0.00011205673,1702931600.0,40,1,0.00011205673,1702931600.0,40.0,0.5,0.00011205673,1702931600.0,Attack,Attack-TCP-Flag-ACK-PSH
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1702931600.0,20.0,0,0.0,1702931600.0,20.0,19418.074,1.0,1702931600.0,20.0,9709.037,0.0,1702931600.0,20,9709.037,1e-04,1702931600.0,20,1,0.000102996826,1702931600.0,20,1,0.000102996826,1702931600.0,20.0,0.5,0.000102996826,1702931600.0,Attack,Attack-TCP-Flag-ACK-PSH
