total_header_bytes,fwd_median_header_bytes,rst_flag_percentage_in_total,packets_IAT_median,max_header_bytes,fwd_mode_header_bytes,fwd_syn_flag_percentage_in_total,packets_IAT_mode,min_header_bytes,fwd_init_win_bytes,bwd_rst_flag_percentage_in_total,fwd_packets_IAT_mean,mean_header_bytes,bwd_init_win_bytes,fwd_psh_flag_percentage_in_fwd_packets,fwd_packets_IAT_max,median_header_bytes,packets_rate,fwd_syn_flag_percentage_in_fwd_packets,fwd_packets_IAT_min,mode_header_bytes,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,fwd_packets_IAT_total,fwd_total_header_bytes,fwd_packets_rate,packets_IAT_mean,fwd_packets_IAT_median,fwd_max_header_bytes,rst_flag_counts,packet_IAT_max,fwd_packets_IAT_mode,fwd_min_header_bytes,bwd_rst_flag_counts,packet_IAT_min,bwd_packets_IAT_total,fwd_mean_header_bytes,syn_flag_percentage_in_total,packet_IAT_total,bwd_packets_IAT_mode,label,activity
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1703000700.0,20.0,0,0.0,1703000700.0,20.0,16131.938,1.0,1703000700.0,20.0,8065.969,0.0,1703000700.0,20,8065.969,1e-04,1703000700.0,20,1,0.00012397766,1703000700.0,20,1,0.00012397766,1703000700.0,20.0,0.5,0.00012397766,1703000700.0,Attack,Attack-TCP-Flag-OSYN
20,0.0,1.0,1703000700.0,20,0.0,0.0,1703000700.0,20,0,1.0,0.0,20.0,0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,1703000700.0,0.0,0,1,1703000700.0,0.0,0,1,1703000700.0,1703000700.0,0.0,0.0,1703000700.0,1703000700.0,Attack,Attack-TCP-Flag-OSYN
20,20.0,1.0,1703000700.0,20,20.0,0.0,1703000700.0,20,0,0.0,1703000700.0,20.0,0,0.0,1703000700.0,20.0,0.0,0.0,1703000700.0,20.0,0.0,0.0,1703000700.0,20,0.0,1703000700.0,1703000700.0,20,1,1703000700.0,1703000700.0,20,0,1703000700.0,0.0,20.0,0.0,1703000700.0,0.0,Attack,Attack-TCP-Flag-OSYN
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1703000700.0,20.0,0,0.0,1703000700.0,20.0,18682.87,1.0,1703000700.0,20.0,9341.435,0.0,1703000700.0,20,9341.435,1e-04,1703000700.0,20,1,0.00010704994,1703000700.0,20,1,0.00010704994,1703000700.0,20.0,0.5,0.00010704994,1703000700.0,Attack,Attack-TCP-Flag-OSYN
60,40.0,0.5,0.0002,40,40.0,0.5,0.0002,20,64240,0.5,1703000800.0,30.0,0,0.0,1703000800.0,30.0,10407.702,1.0,1703000800.0,20.0,5203.851,0.0,1703000800.0,40,5203.851,0.0002,1703000800.0,40,1,0.00019216537,1703000800.0,40,1,0.00019216537,1703000800.0,40.0,0.5,0.00019216537,1703000800.0,Attack,Attack-TCP-Flag-OSYN
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1703000800.0,20.0,0,0.0,1703000800.0,20.0,16810.838,1.0,1703000800.0,20.0,8405.419,0.0,1703000800.0,20,8405.419,1e-04,1703000800.0,20,1,0.00011897087,1703000800.0,20,1,0.00011897087,1703000800.0,20.0,0.5,0.00011897087,1703000800.0,Attack,Attack-TCP-Flag-OSYN
40,20.0,0.5,0.0002,20,20.0,0.5,0.0002,20,1024,0.5,1703000800.0,20.0,0,0.0,1703000800.0,20.0,11765.229,1.0,1703000800.0,20.0,5882.6143,0.0,1703000800.0,20,5882.6143,0.0002,1703000800.0,20,1,0.00016999245,1703000800.0,20,1,0.00016999245,1703000800.0,20.0,0.5,0.00016999245,1703000800.0,Attack,Attack-TCP-Flag-OSYN
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1703000800.0,20.0,0,0.0,1703000800.0,20.0,25653.236,1.0,1703000800.0,20.0,12826.618,0.0,1703000800.0,20,12826.618,1e-04,1703000800.0,20,1,7.7962875e-05,1703000800.0,20,1,7.7962875e-05,1703000800.0,20.0,0.5,7.7962875e-05,1703000800.0,Attack,Attack-TCP-Flag-OSYN
40,20.0,0.5,1e-04,20,20.0,0.5,1e-04,20,1024,0.5,1703000800.0,20.0,0,0.0,1703000800.0,20.0,22982.488,1.0,1703000800.0,20.0,11491.244,0.0,1703000800.0,20,11491.244,1e-04,1703000800.0,20,1,8.702278e-05,1703000800.0,20,1,8.702278e-05,1703000800.0,20.0,0.5,8.702278e-05,1703000800.0,Attack,Attack-TCP-Flag-OSYN
40,20.0,0.5,0.0002,20,20.0,0.5,0.0002,20,1024,0.5,1703000800.0,20.0,0,0.0,1703000800.0,20.0,9393.738,1.0,1703000800.0,20.0,4696.869,0.0,1703000800.0,20,4696.869,0.0002,1703000800.0,20,1,0.00021290779,1703000800.0,20,1,0.00021290779,1703000800.0,20.0,0.5,0.00021290779,1703000800.0,Attack,Attack-TCP-Flag-OSYN
