activity,bwd_init_win_bytes,bwd_packets_IAT_mode,bwd_packets_IAT_total,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,bwd_rst_flag_counts,bwd_rst_flag_percentage_in_total,fwd_init_win_bytes,fwd_max_header_bytes,fwd_mean_header_bytes,fwd_median_header_bytes,fwd_min_header_bytes,fwd_mode_header_bytes,fwd_packets_IAT_max,fwd_packets_IAT_mean,fwd_packets_IAT_median,fwd_packets_IAT_min,fwd_packets_IAT_mode,fwd_packets_IAT_total,fwd_packets_rate,fwd_psh_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_fwd_packets,fwd_syn_flag_percentage_in_total,fwd_total_header_bytes,label,max_header_bytes,mean_header_bytes,median_header_bytes,min_header_bytes,mode_header_bytes,packet_IAT_max,packet_IAT_min,packet_IAT_total,packets_IAT_mean,packets_IAT_median,packets_IAT_mode,packets_rate,rst_flag_counts,rst_flag_percentage_in_total,syn_flag_percentage_in_total,total_header_bytes
Attack-TCP-Flag-OSYN,60,0.0011,0.0011,520.0512,0.0,1,0.5,120,20,20.0,20.0,20,20.0,0.0011243,0.0011243,0.0011243,0.0011243,0.0011243,0.0011243,520.0512,0.0,1.0,0.5,20,Attack,20,20.0,20.0,20,20.0,0.0011243,0.0011243,0.0011243,0.0011,0.0011,0.0011,1040.1023,1,0.5,0.5,40
Attack-TCP-Flag-OSYN,0,1703000700.0,1703000700.0,11167.583,0.0,1,0.5,8192,20,20.0,20.0,20,20.0,1703000700.0,1703000700.0,1703000700.0,1703000700.0,1703000700.0,1703000700.0,11167.583,0.0,1.0,0.5,20,Attack,20,20.0,20.0,20,20.0,4.1799e-05,4.1799e-05,4.1799e-05,0.0001,0.0001,0.0001,22335.166,1,0.5,0.5,40
Attack-TCP-Flag-OSYN,64200,1703001000.0,1703001000.0,5166.57,0.0,1,0.5,1028,32,32.0,32.0,32,32.0,1703001000.0,1703001000.0,1703001000.0,1703001000.0,1703001000.0,1703001000.0,5166.57,0.0,1.0,0.5,32,Attack,32,26.0,26.0,20,20.0,0.0003133999,0.0003133999,0.0003133999,0.0003,0.0003,0.0003,10334.143,1,0.5,0.5,52
Attack-TCP-Flag-OSYN,0,2.1006,2.1049,3.0019,0.0,1,0.22222222,1027,24,24.0,24.0,24,0.0,4.9982,5.0074,5.0088,4.9982,6.0025,5.0086,4.0122,0.0,0.0,0.0,52,Attack,40,40.0,40.0,40,40.0,1.7034e-05,1.7033e-05,1.7033e-05,9.0114,0.0024,2.1029e-05,3.0052,1,0.11111111,1.0,92
Attack-TCP-Flag-OSYN,140,3.501592e-05,0.0019827,1179.8057,0.0,0,0.0,1102,32,32.0,32.0,32,32.0,9.998011e-05,0.0009994,9.998011e-05,9.998011e-05,9.998011e-05,0.0019827,1179.8057,0.0,1.0,1.0,32,Attack,32,32.0,32.0,32,32.0,3.0019909e-04,3.0019909e-04,3.0019909e-04,5.002006e-05,5.002006e-05,5.002006e-05,2359.1614,0,0.0,1.0,32
Attack-TCP-Flag-OSYN,16381,7.005,30.0105,4.0149,0.0,1,0.16666669,65535,16,16.0,16.0,16,16.0,4.0,4.0,4.0,4.0,4.0,4.0,1.9864,0.0,1.0,0.6666667,16,Attack,20,18.0,18.0,20,20.0,38.0152,2.0153,34.0153,8.0159,4.001,0.004,6.0087,1,0.16666669,0.6666667,36
Attack-TCP-Flag-OSYN,6400,1700001000.0,1700001000.0,0.0004948135,0.0,1,0.3846153846153847,5760,24,24.0,24.0,24,24.0,1700001000.0,1700001000.0,1700001000.0,1700001000.0,1700001000.0,1700001000.0,0.0001179,0.0,1.0,0.6153846153846154,24,Attack,24,22.0,22.0,20,20.0,0.0006117,0.0006117,0.0006117,0.0006,0.0006,0.0006,0.000611713,1,0.3846153846153847,0.3846153846153847,44
Attack-TCP-Flag-OSYN,29.99589,18.0057,31.0152,23.9971,0.1,9,0.13,1,40.02,10.004,0,1.32,2.2,43.038993,26.0047,21.0072,10.0086,22.0034,1,0.01203,0.0,0.0,1.27,20,Attack,40,24.032,24.032,20,0,15.00904,1.0000411,43.03903,16.0155,14.0021,5.0020434,25.0128,2,0.153,0.153,244
Attack-TCP-Flag-OSYN,0,0.0,0.0,0.0,0.0,0,0.0,65535,24,24.0,24.0,24,24.0,1703000800.0,1703000800.0,1703000800.0,1703000800.0,1703000800.0,1703000800.0,0.0,0.0,1.0,1.0,24,Attack,24,24.0,24.0,24,24.0,1703000800.0,1703000800.0,1703000800.0,1703000800.0,1703000800.0,1703000800.0,0.0,0,0.0,1.0,24
Attack-TCP-Flag-OSYN,8192,2.0355,0.0205,0.0,0.0,0,0.0,8192,20,20.0,20.0,20,20.0,1.0705,1.0745,1.0705,1.0705,1.0705,1.0745,0.1536,0.0,1.0,1.0,20,Attack,20,20.0,20.0,20,20.0,13.0147,4.0099,13.0148,1.0757,1.0705,0.0002,0.1536,0,0.0,1.0,40
