total_header_bytes,fwd_median_header_bytes,rst_flag_percentage_in_total,packets_IAT_median,max_header_bytes,fwd_mode_header_bytes,fwd_syn_flag_percentage_in_total,packets_IAT_mode,min_header_bytes,fwd_init_win_bytes,bwd_rst_flag_percentage_in_total,fwd_packets_IAT_mean,mean_header_bytes,bwd_init_win_bytes,fwd_psh_flag_percentage_in_fwd_packets,fwd_packets_IAT_max,median_header_bytes,packets_rate,fwd_syn_flag_percentage_in_fwd_packets,fwd_packets_IAT_min,mode_header_bytes,bwd_packets_rate,bwd_psh_flag_percentage_in_bwd_packets,fwd_packets_IAT_total,fwd_total_header_bytes,fwd_packets_rate,packets_IAT_mean,fwd_packets_IAT_median,fwd_max_header_bytes,rst_flag_counts,packet_IAT_max,fwd_packets_IAT_mode,fwd_min_header_bytes,bwd_rst_flag_counts,packet_IAT_min,bwd_packets_IAT_total,fwd_mean_header_bytes,syn_flag_percentage_in_total,packet_IAT_total,bwd_packets_IAT_mode,label,activity
20,20,0.0,1699235713.4622,20,20,0.99562344,1700733969.8302,20,924,0.00306037,1703001600.0,20.0,280,0.0,1703001600.0,20,143.50753936,0.99913708,1701267857.161381,20,0.0,0.0005055,1701841351.5789325,21,90.325493388,1700715168.3484,1700975391.6285,20,1,1701516757.767136,1701315171.4688,20,0,1703001600.0,0.0,19.963,0.9663713,1703001600.0,3166573.8594,Attack,Attack-TCP-Flag-OSYN
23,20,0.00495702,1703001600.0,20,20,0.99828008,1702888813.771,20,1159,0.00637308,1703001600.0,20.0449,56,4.4e-06,1702883178.617452,20,0.0,0.99697855,1702579967.2563572,20,24.218498613,0.0002576,1703001600.0,20,286.705326922,1703001600.0,1703001600.0,20,0,1701127266.9727185,1703001600.0,20,0,1700626674.808852,1430980.1517581055,19.8899,0.9730566,1703001600.0,1131799.4446,Attack,Attack-TCP-Flag-OSYN
20,20,0.01298246,1702925118.544,20,20,1.0,1698933159.112,20,1584,0.00099187,1703001600.0,20.033,95,0.0002099,1701986276.6747777,20,0.0,0.99645292,1702477603.104199,20,322.3582267,0.0,1703001600.0,20,0.0,1699351516.5264,1701990542.0621,20,1,1703001600.0,1703001600.0,20,0,1702623720.9684968,1071959.7338905414,20.0107,1.0,1702622342.48002,1304655.9019,Attack,Attack-TCP-Flag-OSYN
21,20,0.0,1702622493.5906,20,20,0.99886541,1700989091.3715,20,1012,0.0,1701975704.8353,20.0,0,0.0,1702520764.4391484,20,0.0,0.99794129,1701867795.091684,20,168.051055441,0.0,1703001600.0,20,64.37422453,1701830606.9778,1700602982.927,20,1,1703001600.0,1702716196.9144,20,0,1700294956.3444083,0.0,19.9393,0.93769312,1702161720.1155543,0.0,Attack,Attack-TCP-Flag-OSYN
20,20,0.01949329,1703001600.0,20,20,0.50099003,1702369895.5492,20,1171,0.0,1701564361.4082,20.0156,0,0.0,1703001600.0,20,320.80453769,0.99789715,1703001600.0,20,0.0,0.0001647,1701454618.8704288,21,83.32279173,1703001600.0,1702306565.0456,20,1,1702603741.8506234,1702465222.4179,20,0,1703001600.0,0.0,19.862,0.49260622,1703001600.0,0.0,Attack,Attack-TCP-Flag-OSYN
23,20,0.00730161,1701041527.1939,20,20,1.0,1702487090.2318,20,1098,0.00232917,1702259055.8515,20.0,102,0.0,1702577088.547532,20,0.0,0.99958744,1702579525.4198642,20,0.0,0.0,1702274911.7597463,20,0.0,1703001600.0,1703001600.0,20,1,1701427616.797923,1701911070.2429,20,0,1701700214.4893541,4111392.0443951664,19.9916,0.96679785,1701881969.1064622,2747385.093,Attack,Attack-TCP-Flag-OSYN
22,20,0.0,1701834242.4784,20,20,0.49812062,1702424419.4024,20,181,0.0,1702790036.3687,20.0735,145,0.0001834,1702553681.2115366,20,293.31160652,0.99917893,1702316159.7508163,20,198.246558433,2e-07,1703001600.0,20,146.217464717,1702572624.7456,1702573119.4022,20,1,1703001600.0,1702832810.2403,20,0,1700251518.5774746,0.0,20.0439,1.0,1703001600.0,0.0,Attack,Attack-TCP-Flag-OSYN
22,20,0.0,1703001600.0,20,20,0.99922082,1701045617.34,20,1716,0.00391603,1701990365.4736,20.0,339,0.0002307,1702489252.4487455,20,343.55087206,1.0,1700741029.3961143,20,149.269096157,3.77e-05,1703001600.0,20,175.184716877,1703001600.0,1703001600.0,20,1,1703001600.0,1703001600.0,20,0,1703001600.0,6716415.965176615,20.1082,0.97841867,1699580215.8310034,2778407.8598,Attack,Attack-TCP-Flag-OSYN
22,20,0.00185042,1703001600.0,20,20,0.49866839,1701997242.8654,20,691,0.00237643,1702092749.3974,20.0,87,0.0,1703001600.0,20,590.40535405,0.99962544,1703001600.0,20,242.6935649,0.0,1703001600.0,20,374.367357178,1702337238.5598,1703001600.0,20,1,1701610447.5759485,1703001600.0,20,0,1701526382.1008012,1087731.0813938763,19.9736,0.4990171,1701603827.0491965,0.0,Attack,Attack-TCP-Flag-OSYN
22,20,0.0,1703001600.0,20,20,0.4997325,1703001600.0,20,1032,0.0021475,1703001600.0,20.0011,0,0.0,1703001600.0,20,413.95568265,0.9984012,1701300346.271032,20,0.0,2.56e-05,1703001600.0,20,8.027218957,1702520096.8762,1702629695.4136,20,1,1701353274.4658172,1703001600.0,20,0,1702413775.6206527,124244.04319422622,19.9661,0.49157088,1701001332.426178,0.0,Attack,Attack-TCP-Flag-OSYN
